Sample ID,Latitude ,Longitude
1,46.86895,-113.9104
2,46.708717,-114.114833
3,46.466084,-113.938984
4,46.70755,-114.06918
5,46.70373,-114.103567
6,46.7069,-114.03976
7,46.420339,-113.940455
8,46.465644,-113.939794
9,46.68795,-114.10985
10,46.4431,-113.92924
11,46.49705,-113.92995
12,46.70649,-114.03998
13,46.70661,-114.09929
14,46.7151,-114.05221
15,46.84587,-113.87551
16,46.50175,-113.92716
17,46.70725,-114.03912
18,46.71947,-113.99387
19,46.69303,-114.10265
20,46.71148,-114.04081
21,46.70735,-114.05083
22,46.8241,-113.90193
23,46.474722,-113.904087
24,46.67875,-113.83029
25,46.82145,-113.90024
26,46.539702,-113.941298
27,46.742082,-113.979326
28,46.70837,-114.03807
29,46.69172,-114.10612
30,46.66803,-113.95937
31,46.71269,-113.94581
32,46.6859,-114.03638
33,46.72954,-114.10205
34,46.78749,-113.84583
35,46.66786,-113.95663
36,46.45443,-113.87969
37,46.68645,-114.03596
38,46.70657,-114.11369
39,46.80849,-113.87782
40,46.47142,-113.94802
41,46.6701,-114.01886
42,46.69145,-114.12659
43,46.68916,-113.949
44,46.46552,-113.84045
45,46.76622,-113.83851
46,46.6886,-114.12859
47,46.7062,-113.99543
48,46.44165,-113.93928
49,46.77915,-113.82232
50,46.72793,-114.05669
51,46.68783,-114.11618
101,46.86375,-113.90108
102,46.70679,-114.09685
103,46.70473,-114.03889
104,46.53763,-113.93481
105,46.71381,-113.97131
106,46.69392,-114.10282
107,46.43626,-113.93518
108,46.65237,-113.87122
109,46.68716,-114.03575
110,46.728352,-114.00907
111,46.81268,-113.87463
112,46.45262,-113.86921
113,46.7068,-114.09718
114,46.74029,-113.92977
115,46.66915,-113.82777
116,46.70556,-114.09781
117,46.70924,-114.07183
118,46.70555,-114.09773
119,46.80202,-113.855944
120,46.71512,-113.95922
121,46.74287,-113.93666
122,46.72747,-113.92379
123,46.68902,-114.12883
124,46.67085,-113.94889
125,46.80575,-113.87757
126,46.47988,-113.88911
127,46.70464,-114.10303
128,46.67968,-113.87627
129,46.78322,-113.85368
130,46.47389,-113.90287
131,46.75569,-113.95672
132,46.80851,-113.88476
133,46.75736,-113.85785
134,46.70002,-113.99719
135,46.7061,-114.10089
136,46.8152,-113.82493
137,46.79952,-113.90181
138,46.677617,-114.015537
139,46.445007,-113.936472
140,46.67389,-114.0245
141,46.68808,-114.11503
142,46.79442,-113.76189
143,46.72363,-113.84372
144,46.8339,-113.85265
145,46.66974,-114.02115
146,46.708643,-113.966751
147,46.46943,-113.921255
148,46.709778,-113.9809
149,46.78766,-113.84646
150,46.83694,-113.88317
151,46.46453,-113.91847
152,46.682014,-114.07512
